TypeBasedGenerator.vx	TypeBasedGenerator.vy	BSTTypeBasedInitialGenerator.vx	BSTTypeBasedInitialGenerator.vy	BSTTypeBasedTrainedGenerator.vx	BSTTypeBasedTrainedGenerator.vy
0	0	0	0	0	0
0.00025	1	0.00032500000000000004	1	0.00011	1
0.000307	2	0.00037600000000000003	2	0.000164	2
0.00039299999999999996	3	0.00043099999999999996	3	0.00016900000000000002	3
0.00046	4	0.00044699999999999997	4	0.00017999999999900002	4
0.0005300000000000001	5	0.00048000000000000007	5	0.000204	5
0.0005300000000000001	6	0.0004969999999999999	6	0.00021700000000000002	6
0.000579	7	0.000576	7	0.00025100000000000003	7
0.0005809999999990001	8	0.000607	8	0.000298	8
0.0006000000000000001	9	0.000699	9	0.00032399999999999996	9
0.00062	10	0.0007300000000000001	10	0.00032900000000000003	10
0.00064	11	0.0007559999999999999	11	0.000350999999999	11
0.0007400000000000001	12	0.000869	12	0.000352	12
0.0007700000000000001	13	0.0010500000000000002	13	0.000358	13
0.0007800000000000001	14	0.001148	14	0.000365	14
0.0008020000000000001	15	0.0017289999999999999	15	0.00041099999999900006	15
0.000819	16	0.0018460000000000002	16	0.000432	16
0.00084	17	0.0019349999999999999	17	0.000446	17
0.000859	18	0.0023539999999999998	18	0.00045200000000000004	18
0.0009600000000000001	19	0.0025510000000000003	19	0.00046800000000000005	19
0.000968	20	0.0026810000000000002	20	0.000486	20
0.0009800000000000002	21	0.002815	21	0.000504	21
0.00109	22	0.002949	22	0.000509	22
0.0013000000000000002	23	0.0030269999999999997	23	0.0006259999999999999	23
0.001307	24	0.0031200000000000004	24	0.000646	24
0.0014500000000000001	25	0.0031680000000000002	25	0.0006479999999999999	25
0.001511	26	0.0033139999999999997	26	0.0006600000000000001	26
0.0015559999999999999	27	0.003319	27	0.0006979999999990001	27
0.001563	28	0.004209	28	0.000824	28
0.0024159999999999997	29	0.004345	29	0.000852	29
0.002606	30	0.004503	30	0.0009260000000000001	30
0.0032679999999999996	31	0.0047139999999999994	31	0.0010119999999999999	31
0.003287999999999	32	0.006266	32	0.00107	32
0.003326	33	0.006633	33	0.001103	33
0.003372	34	0.006710000000000001	34	0.001125999999999	34
0.005288999999999	35	0.006967999999999999	35	0.0011790000000000001	35
0.005376000000000001	36	0.008404	36	0.001201	36
0.007535999999999999	37	0.009753	37	0.00127	37
0.010005	38	0.010577	38	0.0013449999999999998	38
0.010548	39	0.014029999999999002	39	0.0015379999999999999	39
0.011033999999999999	40	0.014608999999999999	40	0.0015880000000000002	40
0.011309	41	0.017040000000000003	41	0.0016500000000000002	41
0.014176000000000001	42	0.018328	42	0.0017109999999999998	42
0.016621	43	0.022706	43	0.002444999999999	43
0.032381	44	0.030135000000000002	44	0.002493	44
0.055081000000000005	45	0.040158	45	0.0025830000000000002	45
0.097603	46	0.041620000000000004	46	0.0033380000000000003	46
0.098118	47	0.067219	47	0.004457	47
0.21554800000000002	48	0.073294	48	0.008676999999999001	48
0.21809399999999998	49	0.365517999999999	49	0.010100000000000001	49
60	49	60	49	60	49
