TypeBasedGenerator.vx	TypeBasedGenerator.vy	RBTTypeBasedInitialGenerator.vx	RBTTypeBasedInitialGenerator.vy	RBTTypeBasedTrainedGenerator.vx	RBTTypeBasedTrainedGenerator.vy
0	0	0	0	0	0
0.000118999999999	1	0.00012900000000000002	1	0.000126	1
0.000194	2	0.000352999999999	2	0.000164	2
0.000261	3	0.000567	3	0.00017999999999900002	3
0.0005	4	0.000704	4	0.000205	4
0.0005480000000000001	5	0.0011	5	0.00020899999999900002	5
0.000754	6	0.0012109999999999998	6	0.000224	6
0.0008439999999999999	7	0.001973	7	0.00047099999999999996	7
0.0008770000000000001	8	0.002343	8	0.0009519999999990001	8
0.0009190000000000001	9	0.003005	9	0.0009609999999990001	9
0.0009699999999990001	10	0.0036500000000000005	10	0.00101	10
0.001553	11	0.004437	11	0.001019	11
0.002022	12	0.004737	12	0.001042	12
0.00254	13	0.004853	13	0.0017159999999999999	13
0.005954	14	0.006233	14	0.0017319999999999998	14
0.007077	15	0.011781999999999999	15	0.0018620000000000002	15
0.009746999999999999	16	0.013469	16	0.0030510000000000003	16
0.011809	17	0.016649	17	0.0030789999999999997	17
0.020401	18	0.019677	18	0.0033290000000000004	18
0.031160999999999998	19	0.024080999999999998	19	0.004142000000000001	19
0.033357	20	0.024496999999999998	20	0.004443	20
0.042421	21	0.028912999999999998	21	0.004601	21
0.16053800000000001	22	0.06479599999999999	22	0.008882	22
0.295768	23	0.21391200000000002	23	0.008919	23
0.43844299999999903	24	0.217946	24	0.018581	24
0.600877	25	0.296522	25	0.023416	25
2.32825	26	0.468866	26	0.026317999999999998	26
5.915239	27	0.718963	27	0.029313	27
11.983824	28	2.409137	28	0.042376	28
60	28	60	28	60	28
