BespokeGenerator.vx	BespokeGenerator.vy	STLCBespokeInitialGenerator.vx	STLCBespokeInitialGenerator.vy	STLCBespokeTrainedGenerator.vx	STLCBespokeTrainedGenerator.vy
0	0	0	0	0	0
0.002143	1	0.002779	1	0.000416	1
0.00235	2	0.003957	2	0.000576	2
0.006096	3	0.004261	3	0.0008669999999999999	3
0.006854	4	0.004292	4	0.0013449999999999998	4
0.007891	5	0.004314	5	0.0017419999999999998	5
0.008067999999999999	6	0.0056419999999999994	6	0.0024939999999999997	6
0.010608000000000001	7	0.006669	7	0.004341999999999	7
0.011944999999999999	8	0.008246999999999999	8	0.004824999999999999	8
0.012308	9	0.009720999999999999	9	0.0048779999999999995	9
0.013503000000000001	10	0.010766	10	0.006027999999999	10
0.016505	11	0.011227000000000001	11	0.00809	11
0.018954000000000002	12	0.012104	12	0.009680000000000001	12
0.022	13	0.037031	13	0.010256999999999999	13
0.043349	14	0.049772	14	0.012360999999999999	14
0.044267999999999995	15	0.082611999999999	15	0.013158999999999999	15
0.094151	16	0.085479	16	0.017533	16
0.262204	17	0.178257	17	0.349385	17
0.40161199999999997	18	0.184826	18	0.373253	18
0.40666599999999997	19	0.23797800000000002	19	0.638579	19
0.725287	20	0.35776399999999997	20	0.876402	20
60	20	60	20	60	20
