TypeBasedGenerator.vx	TypeBasedGenerator.vy	STLCTypeBasedInitialGenerator.vx	STLCTypeBasedInitialGenerator.vy	STLCTypeBasedTrainedGenerator.vx	STLCTypeBasedTrainedGenerator.vy
0	0	0	0	0	0
0.034303	1	0.026413000000000002	1	0.012317999999999002	1
0.095098	2	0.044509	2	0.01318	2
0.103586	3	0.045572	3	0.016996	3
0.11349500000000001	4	0.060832000000000004	4	0.022101	4
0.11810499999999999	5	0.065736999999999	5	0.022633999999999998	5
0.11873600000000001	6	0.06693500000000001	6	0.024083	6
0.127447	7	0.067092	7	0.024086	7
0.149374	8	0.081555	8	0.030049	8
0.16029000000000002	9	0.08315900000000001	9	0.031368	9
0.18032199999999998	10	0.09329899999999999	10	0.040395	10
0.19123500000000002	11	0.14530099999999901	11	0.040777	11
0.21895	12	0.187968	12	0.042126	12
0.32743000000000005	13	0.36672099999999996	13	0.062891	13
0.581566	14	0.443691	14	0.193271	14
0.6176200000000001	15	0.628338	15	0.19495500000000002	15
0.6564760000000001	16	0.990545	16	0.28656200000000004	16
16.57455	17	7.030256	17	2.43646	17
18.853605	18	14.000221	18	2.642836	18
24.067080999999998	19	15.166015999999999	19	2.654347	19
27.436326	20	15.671869000000001	20	3.3477170000000003	20
60	20	60	20	60	20
