TypeBasedGenerator.vx	TypeBasedGenerator.vy	BSTTypeBasedInitialGenerator.vx	BSTTypeBasedInitialGenerator.vy	BSTTypeBasedTrainedGenerator.vx	BSTTypeBasedTrainedGenerator.vy
0	0	0	0	0	0
0.00045200000000000004	1	0.00029499999999999996	1	0.00013800000000000002	1
0.00046	2	0.00039900000000000005	2	0.000154	2
0.0005279999999999999	3	0.000419	3	0.000185	3
0.000532	4	0.000495	4	0.000204	4
0.0005340000000000001	5	0.00051	5	0.000213	5
0.0005600000000000001	6	0.000571	6	0.00021799999999999999	6
0.0005600000000000001	7	0.0006889999999990001	7	0.00023099999999999998	7
0.00063	8	0.0007	8	0.00027	8
0.0006600000000000001	9	0.0008200000000000001	9	0.00027299999999999997	9
0.0006600000000000001	10	0.0008600000000000001	10	0.000347	10
0.0006600000000000001	11	0.0008600000000000001	11	0.000348	11
0.00067	12	0.000966	12	0.000365	12
0.00067	13	0.001127	13	0.000375	13
0.00068	14	0.001307	14	0.00040300000000000004	14
0.0006900000000000001	15	0.0014349999999999999	15	0.00041000000000000005	15
0.0006900000000000001	16	0.0019190000000000001	16	0.00042199999999999996	16
0.0007	17	0.002274	17	0.00047099999999999996	17
0.0008	18	0.002382	18	0.0005149999999999999	18
0.000852	19	0.002397	19	0.0005600000000000001	19
0.0008700000000000001	20	0.002686	20	0.000633	20
0.0008929999999999999	21	0.003214	21	0.000643	21
0.00092	22	0.0032329999999999998	22	0.000691	22
0.0011309999999999998	23	0.0036569999999999997	23	0.0007059999999990001	23
0.001242	24	0.003879999999999	24	0.000754	24
0.001389	25	0.003991	25	0.0007559999999999999	25
0.001547	26	0.004076	26	0.000838	26
0.0018100000000000002	27	0.004267	27	0.000841	27
0.0018989999999999999	28	0.004282	28	0.0009050000000000001	28
0.002454	29	0.004717	29	0.0009180000000000001	29
0.00286	30	0.005053	30	0.0009360000000000001	30
0.003258	31	0.0051400000000000005	31	0.0009429999999990001	31
0.003264	32	0.007266	32	0.000987	32
0.004241	33	0.009106999999999001	33	0.001035	33
0.004378	34	0.010484	34	0.001047	34
0.004784	35	0.01072	35	0.0012540000000000001	35
0.006979	36	0.011682999999999999	36	0.001274	36
0.008723	37	0.013739000000000001	37	0.001291	37
0.008853999999999	38	0.013810000000000001	38	0.001379	38
0.009613	39	0.016756999999999998	39	0.0014550000000000001	39
0.009673000000000001	40	0.019223	40	0.0014659999999999999	40
0.016829	41	0.020308	41	0.0014800000000000002	41
0.017044	42	0.020560000000000002	42	0.00167	42
0.017304	43	0.023681999999999002	43	0.002000999999999	43
0.018557999999999998	44	0.023896999999999002	44	0.003839	44
0.048140999999999004	45	0.028832	45	0.004149	45
0.055861	46	0.032659	46	0.0055720000000000006	46
0.11658400000000001	47	0.07727200000000001	47	0.005594	47
0.39528599999999997	48	0.18963200000000002	48	0.005902999999999	48
0.450129	49	0.28241299999999997	49	0.00621	49
60	49	60	49	60	49
