TypeBasedGenerator.vx	TypeBasedGenerator.vy	RBTTypeBasedInitialGenerator.vx	RBTTypeBasedInitialGenerator.vy	RBTTypeBasedTrainedGenerator.vx	RBTTypeBasedTrainedGenerator.vy
0	0	0	0	0	0
0.000118	1	0.000532	1	0.00013099999999999999	1
0.000415	2	0.000535	2	0.000144	2
0.00043799999999999997	3	0.000584	3	0.000184	3
0.000576	4	0.000615	4	0.00022099999999999998	4
0.0005859999999990001	5	0.0006550000000000001	5	0.00025800000000000004	5
0.0007400000000000001	6	0.001039	6	0.00033600000000000004	6
0.0008600000000000001	7	0.0023980000000000004	7	0.00040300000000000004	7
0.000878	8	0.0025529999999999997	8	0.0006169999999999999	8
0.000966	9	0.0029140000000000004	9	0.000691	9
0.0013369999999999999	10	0.0034219999999999997	10	0.0007329999999999999	10
0.001537	11	0.005051	11	0.0009149999999999999	11
0.001542999999999	12	0.006301999999999	12	0.0012549999999990002	12
0.0016179999999999999	13	0.007862000000000001	13	0.001349	13
0.004678	14	0.008282	14	0.0016209999999999998	14
0.0073939999999999995	15	0.009427999999999999	15	0.0018579999999999998	15
0.008705000000000001	16	0.014598999999999999	16	0.0019249999999999998	16
0.009289	17	0.015667	17	0.0022459999999999997	17
0.009819000000000001	18	0.025571999999999998	18	0.0026650000000000003	18
0.025481999999999998	19	0.029376000000000003	19	0.0030830000000000002	19
0.051372999999999995	20	0.032088	20	0.004801000000000001	20
0.05237700000000001	21	0.033062999999999995	21	0.008655	21
0.2041	22	0.090088	22	0.010792	22
0.33335699999999996	23	0.19717200000000001	23	0.011937999999999999	23
0.36383299999999996	24	0.21400200000000003	24	0.023087	24
0.764629	25	0.34722800000000004	25	0.024384	25
4.200079	26	0.7389560000000001	26	0.031173	26
4.300305000000001	27	0.902621	27	0.032984	27
4.781214	28	1.486788	28	0.043150999999999995	28
60	28	60	28	60	28
