BespokeGenerator.vx	BespokeGenerator.vy	STLCBespokeInitialGenerator.vx	STLCBespokeInitialGenerator.vy	STLCBespokeTrainedGenerator.vx	STLCBespokeTrainedGenerator.vy
0	0	0	0	0	0
0.0036379999999999997	1	0.0038650000000000004	1	0.00044199999999999996	1
0.003669	2	0.004112	2	0.00067	2
0.004497999999999999	3	0.005307	3	0.001194	3
0.008265	4	0.005392999999999999	4	0.0017059999999999998	4
0.009228	5	0.005497999999999999	5	0.003532	5
0.011529	6	0.005679	6	0.0039000000000000003	6
0.012495	7	0.006019999999999	7	0.004395	7
0.014326	8	0.006269999999999	8	0.005822	8
0.015110000000000002	9	0.008870000000000001	9	0.006731	9
0.017332	10	0.009271000000000001	10	0.006929999999999	10
0.020228000000000003	11	0.011724	11	0.007977	11
0.02287	12	0.013098	12	0.008565999999999999	12
0.044060999999999996	13	0.021276	13	0.008860999999999999	13
0.050664999999999995	14	0.04292000000000001	14	0.010192	14
0.076224	15	0.057329000000000005	15	0.010995	15
0.08215800000000001	16	0.059669	16	0.019562000000000003	16
0.16951400000000003	17	0.093543	17	0.206264	17
0.2	18	0.178644	18	0.280143	18
0.23534100000000002	19	0.22412700000000002	19	0.29189600000000004	19
0.622224	20	0.262886	20	0.7481420000000001	20
60	20	60	20	60	20
