TypeBasedGenerator.vx	TypeBasedGenerator.vy	STLCTypeBasedInitialGenerator.vx	STLCTypeBasedInitialGenerator.vy	STLCTypeBasedTrainedGenerator.vx	STLCTypeBasedTrainedGenerator.vy
0	0	0	0	0	0
0.051820000000000005	1	0.039242	1	0.013006	1
0.062272999999999995	2	0.043976999999999	2	0.013245	2
0.065137	3	0.049420000000000006	3	0.014690000000000002	3
0.08373000000000001	4	0.058226	4	0.016357	4
0.09274400000000001	5	0.067881	5	0.017272	5
0.11317300000000001	6	0.07945	6	0.018706	6
0.128435	7	0.085783	7	0.027937999999999998	7
0.140297	8	0.113937	8	0.030050999999999002	8
0.146553	9	0.116698	9	0.030493	9
0.17947100000000002	10	0.117244	10	0.033111999999999996	10
0.207283	11	0.117737	11	0.035622	11
0.42847	12	0.139374	12	0.038764	12
0.5854640000000001	13	0.22200199999999998	13	0.140323	13
0.7932380000000001	14	0.282277	14	0.161993	14
0.9671430000000001	15	0.326368	15	0.19072599999999998	15
0.9981169999999999	16	0.37025199999999997	16	0.21734399999999998	16
5.947520000000001	17	5.699089	17	0.455046	17
8.031035	18	8.117959	18	0.816584	18
10.949700000000002	19	9.479116	19	1.267070999999999	19
24.585037	20	10.655458000000001	20	2.982971	20
60	20	60	20	60	20
