val	probability
0	0.4003720210648558
1	0.29409712669055027
2	0.21949725992748806
3	0.07042913953379117
4	0.013274269790242833
5	0.0020303768570840083
6	0.00026564524770278803
7	3.065349081291729e-5
8	3.178633279867722e-6
9	3.003866363095215e-7
10	2.6108386723782432e-8
11	2.1003939027900393e-9
12	1.570680000044438e-10
13	1.0948457211821587e-11
14	7.127242518507671e-13
15	4.337214293959948e-14
16	2.467584491444543e-15
17	1.3115695607979116e-16
18	6.502988584174853e-18
19	3.0007159355522064e-19
20	1.284444141223311e-20
21	5.077592348097385e-22
22	1.8426884096776657e-23
23	6.0902569890218245e-25
24	1.813949570838053e-26
25	4.801123806753563e-28
26	1.1081886098743959e-29
27	2.1730288466924843e-31
28	3.481900458092651e-33
29	4.279377361297927e-35
30	3.5855071092730726e-37
31	1.5311362711789573e-39
